HitName
"DIAS DE MENDONCA, Leonardo"
"ESPARRAGOZA MORENO, Juan Jose"
"PALMA SALAZAR, Hector Luis"
"QUINTERO MERAZ, Jose Albino"
"ABDAOUI, Youssef"
"AKLI, Mohamed Amine"
"AMDOUNI, Mehrez"
"AYARI, Chiheb Ben Mohamed"
"BAAZAOUI, Mondher"
"DUMONT, Lionel"
"ESSAADI, Moussa Ben Amor Ben Ali"
"FETTAR, Rachid"
"HAMAMI, Brahim Ben Hedili Ben Mohamed"
"JARRAYA, Khalil"
"JENDOUBI, Faouzi Ben Mohamed Ben Ahmed"
"MNASRI, Fethi Ben Rebai Ben Absha"
"OUAZ, Najib"
"RARRBO, Ahmed Hosni"
"SALEH, Nedal"
"MZOUDI, Abdelghani"
"AL-TIKRITI, Saddam Hussein"
"AL-TIKRITI, Qusay Saddam Hussein"
"AL-TIKRITI, Uday Saddam Hussein"
"AL-TIKRITI, Abid Hamid Mahmud"
"AL-TIKRITI, Ali Hassan al-Majid"
"AL-DURI, Izzat Ibrahim"
"AL-TIKRITI, Hani abd-al-Latif Tilfah"
"AL-NUMAN, Aziz Salih"
"ZUBAIDI, Muhammad Hamza"
"AL-TIKRITI, Kamal Mustafa Sultan Abdallah"
"AL-TIKRITI, Barzan abd al-Ghafur Sulaiman Majid"
"AL-TIKRITI, Muzahim Sa'b Hassan"
"AL-TIKRITI, Ibrahim Ahmad abd al-Sattar Muhammed"
"AL-RAWI, Saif-al-Din Fulayyih Hassan Taha"
"AL-TIKRITI, Rafi abd-al-Latif Tilfah"
"AL-TIKRITI, Tahir Jalil Habbush"
"AL-TIKRITI, Hamid Raja Shalah"
"AL-DULAYMI, Latif Nusayyif Jasim"
"HUWAYSH, Abd-al-Tawab Mullah"
"AL-JIZRAWI, Taha Yassin Ramadan"
"AL-TIKRITI, Rukan Razuki abd-al-Ghafur Sulaiman"
"AL-TIKRITI, Jamal Mustafa Abdallah Sultan"
"HADI, Mizban Khadr"
"MA'RUF, Taha Muhyi-al-Din"
"AZIZ, Tariq"
"AL-TIKRITI, Walid Hamid Tawfiq"
"AL-TAI, Sultan Hashim Ahmad"
"AL-AZZAWI, Hikmat Mizban Ibrahim"
"AL-AHMAD, Mahmud Dhiyab"
"AL-RAWI, Ayad Futayyih Khalifa"
"AL-NAQIB, Zuhair Talib abd-al-Sattar"
"AL-SA'DI, Amir Hamudi Hassan"
"AL-UBAIDI, Amir Rashid Muhammad"
"AL-YASSIN, Husam Muhammad Amin"
"AL-TIKRITI, Sab'awi Ibrahim Hassan"
"AL-TIKRITI, Watban Ibrahim Hassan"
"AL-TIKRITI, Barzan Ibrahim Hassan"
"AMMASH, Huda Salih Mahdi"
"AL-SAD'UN, Abd-al-Baqi abd-al-Karim Abdallah"
"AL-SA'DUN, Muhammad Zimam abd-al-Razzaq"
"AL-NAJIM, Samir abd al-Aziz"
"ABD-AL-GHAFUR, Humam abd-al-Khaliq"
"AL-UBAIDI, Yahia Abdallah"
"GHALIB, Nayif Shindakh Thamir"
"AL-MASHHADANI, Saif-al-Din"
"GHARIB, Fadil Mahmud"
"AL-KHAFAJI, Muhsin Khadr"
"KAZIM, Rashid Taan"
"AL-KUBAYSI, Ugla Abid Saqar"
"AL-UBAIDI, Ghazi Hammud"
"MAHDI, Adil Abdallah"
"AL-AWADI, Hussein Qaid"
"AL-MUHAMMAD, Khamis Sirhan"
"AL-TIKRITI, Sa'd abd-al-Majid al-Faysal"
"SPASOJEVIC, Dragon"
"VASIC, Dragomir"
"AL-ALAMI, Imad Khalil"
"HAMDAN, Usama"
"MISHAAL, Khalid"
"RANTISI, Abdel Aziz"
"DWIKARNA, Agus"
"JULKIPLI, Salim Y Salamuddin"
"MUNANDAR, Aris"
"MURAD, Abdul Hakim"
"SIREGAR, Parlindungan"
"SYAWAL, Yassin"
"YUNOS, Mukhlis"
"BIN MANSOUR, Amran"
"HIR, Zulkifli Bin Abdul"
"KASMURI, Abdul Manaf"
"MARZUKI, Zulkifli"
"SUFAAT, Yazid"
"WAN MIN, Wan Mat"
"ZAKARIA, Zaini"
"ABU DHESS, Mohamed"
"AL-DAGMA, Aschraf"
"MOUSTFA, Djamel"
"SHALABI, Ismail Abdallah Sbaitan"
"BELMOKHTAR, Mokhtar"
"EL HADI, Mustapha Nasri Ben Abdul Kader Ait"
"LOUNICI, Djamel"
"BEN ABDELHAKIM, Cherif Said"
"BOUYAHIA, Hamadi Ben Abdul Aziz Ben Ali"
"CABDULLAAH, Ciise Maxamed"
"DRISSI, Noureddine Ben Ali Ben Belkassem"
"EL AYASHI, Radi Abd El Samie Abou El Yazid"
"HAMMID, Mohammed Tahir"
"HAMRAOUI, Kamel Ben Mouldi Ben Hassan"
"MOSTAFA, Mohamed Amin"
"RIHANI, Lotfi Ben Abdul Hamid Ben Ali"
"ROUINE, Lazher Ben Khalifa Ben Ahmed"
"SALEH AL-SAADI, Nassim Ben Mohamed Al-Cherif ben Mohamed"
"TRABELSI, Mourad"
"ZARKAOUI, Imed Ben Mekki Ben Al-Akhdar"
"AMMARI, Saifi"
"DURGUTI, Safet"
"ABO GHAITH, Sulaiman Jassem"
"BASEVIC, Dragan"
"BOROVCANIN, Veljko"
"DJORDA, Samojko"
"ECIM, Ljuban"
"JAKUPI, Avdyl"
"KOJIC, Radomir"
"KOVAC, Tomislav"
"KUJUNDZIC, Predrag"
"MARIJANOVIC, Milovan"
"SARAC, Ivan"
"SHAQIRI, Xhezair"
"THACI, Menduh"
